Feature,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count,Outlier %
academic_performance,67.181,74.821,7.64,55.721,86.281,6944,0.69
internet_usage,3.491,6.507,3.016,-1.032,11.03,3583,0.36
study_hours_per_day,3.651,6.346,2.695,-0.392,10.388,3491,0.35
screen_time,3.651,6.351,2.7,-0.399,10.402,3507,0.35
family_expectation,4.647,7.352,2.705,0.59,11.408,3454,0.35
stress_level,3.103,5.385,2.283,-0.322,8.81,3287,0.33
exam_pressure,4.945,7.052,2.107,1.784,10.213,2809,0.28
academic_year,2.0,4.0,2.0,-1.0,7.0,0,0.0
age,20.0,26.0,6.0,11.0,35.0,0,0.0
social_support,3.65,6.35,2.7,-0.4,10.399,0,0.0
physical_activity,1.991,4.011,2.021,-1.04,7.042,0,0.0
sleep_hours,5.491,7.515,2.024,2.456,10.55,0,0.0
financial_stress,3.657,6.355,2.698,-0.39,10.401,0,0.0
