Feature,Risk Level,Mean,Std,Min,Max
academic_performance,High,71.934,5.654,50.988,94.672
academic_performance,Low,70.863,5.656,42.366,96.711
academic_performance,Medium,71.413,5.647,47.565,97.246
academic_year,High,2.494,1.118,1.0,4.0
academic_year,Low,2.5,1.118,1.0,4.0
academic_year,Medium,2.503,1.117,1.0,4.0
age,High,23.017,3.725,17.0,29.0
age,Low,22.998,3.743,17.0,29.0
age,Medium,22.989,3.744,17.0,29.0
exam_pressure,High,7.752,1.307,2.542,10.0
exam_pressure,Low,5.717,1.478,1.0,10.0
exam_pressure,Medium,6.868,1.394,1.0,10.0
family_expectation,High,7.101,1.814,0.0,10.0
family_expectation,Low,5.806,1.949,0.0,10.0
family_expectation,Medium,6.529,1.886,0.0,10.0
financial_stress,High,6.541,1.83,0.0,10.0
financial_stress,Low,4.756,1.936,0.0,10.0
financial_stress,Medium,5.765,1.882,0.0,10.0
internet_usage,High,5.041,2.147,1.0,13.74
internet_usage,Low,5.039,2.159,1.0,14.0
internet_usage,Medium,5.036,2.155,1.0,14.0
physical_activity,High,2.573,1.404,0.0,7.0
physical_activity,Low,3.079,1.464,0.0,7.0
physical_activity,Medium,2.804,1.442,0.0,7.0
screen_time,High,5.026,1.946,1.0,12.0
screen_time,Low,5.019,1.962,1.0,12.0
screen_time,Medium,5.016,1.957,1.0,12.0
sleep_hours,High,5.088,1.274,3.0,10.0
sleep_hours,Low,6.731,1.425,3.0,10.0
sleep_hours,Medium,5.794,1.367,3.0,10.0
social_support,High,3.774,1.865,0.0,10.0
social_support,Low,5.193,1.952,0.0,10.0
social_support,Medium,4.407,1.922,0.0,10.0
stress_level,High,7.585,1.09,3.7,10.0
stress_level,Low,3.714,1.42,0.0,9.679
stress_level,Medium,5.885,1.141,0.917,10.0
study_hours_per_day,High,6.765,1.853,0.0,13.239
study_hours_per_day,Low,4.722,1.931,0.0,14.0
study_hours_per_day,Medium,5.863,1.887,0.0,14.0
