Rank,Model,Train Accuracy,Test Accuracy,Gap,F1-macro,Precision,Recall,ROC-AUC,CV F1 Mean
1,Tuned LightGBM,0.9686,0.8165,0.1521,0.6281,0.6084,0.6575,0.915,0.912
2,Ensemble (Random Forest + XGBoost),0.9385,0.8142,0.1243,0.6394,0.606,0.698,0.9222,0.8939
3,Tuned Random Forest,0.9432,0.8116,0.1316,0.6461,0.6062,0.7243,0.9213,0.8883
4,Tuned XGBoost,0.9302,0.8111,0.1191,0.6275,0.5961,0.6824,0.9177,0.8922
5,LightGBM,0.8834,0.8044,0.079,0.6199,0.5833,0.6977,0.916,0.8667
6,XGBoost,0.8749,0.8031,0.0719,0.6275,0.5869,0.7197,0.9161,0.8587
7,Logistic Regression,0.8087,0.7991,0.0096,0.6174,0.5741,0.7653,0.917,0.8089
8,Tuned Logistic Regression,0.8084,0.7988,0.0096,0.6175,0.5741,0.7654,0.9161,0.8087
9,Random Forest,0.8493,0.7922,0.0571,0.6196,0.5757,0.751,0.9137,0.8354
10,Tuned SVM,0.9655,0.7901,0.1754,0.6003,0.5683,0.6646,0.8957,0.8509
11,SVM,0.8038,0.7801,0.0237,0.6057,0.5627,0.7746,0.916,0.8012
12,Tuned Decision Tree,0.8114,0.7782,0.0331,0.5835,0.5474,0.741,0.9028,0.8032
13,Decision Tree,0.8378,0.7712,0.0666,0.5809,0.5449,0.7194,0.8899,0.8183
14,Naive Bayes,0.7732,0.7646,0.0086,0.5825,0.5446,0.7318,0.8973,0.7745
15,Tuned Naive Bayes,0.7732,0.7646,0.0086,0.5825,0.5446,0.7318,0.8973,0.7745
